Site_id,1G.01,1G.02,1G.03,1G.04,1G.05,1G.06,1G.07,1G.08,1G.09,1G.10,1G.11,1G.12,1G.13,1G.14,1G.15,1N.01,1N.02,1N.03,1N.04,1N.05,1N.06,1N.07,1N.08,1N.09,1N.10,1N.11,1N.12,1N.13,1N.14,1T.01,1T.02,1T.03,1T.04,1T.05,1T.06,1T.07,1T.08,1T.09,1T.10,1T.11,1T.12,1T.13,1T.14,1T.15,1T.16,1T.17,1T.18,1T.19,1T.20,1T.21,1T.22,1T.23,1T.24,1T.25,1T.26,1T.27,1T.28,1T.29,1T.30,1T.31,1T.32,1T.33,1T.34,1T.35,1T.36,1T.37,1T.38,1T.39,1T.40,1T.41,1T.42,1T.43,1T.44,2G.01,2G.02,2G.03,2G.04,2G.05,2G.07,2G.08,2G.09,2G.10,2G.11,2G.12,2G.13,2G.14,2G.15,2N.01,2N.02,2N.03,2N.04,2N.05,2N.06,2N.07,2N.08,2N.09,2N.10,2N.11,2N.12,2N.13,2N.14,2T.01,2T.02,2T.03,2T.04,2T.05,2T.06,2T.07,2T.08,2T.09,2T.10,2T.11,2T.12,2T.13,2T.14,2T.15,2T.16,2T.17,2T.18,2T.19,2T.20,2T.21,2T.22,2T.23,2T.24,2T.25,2T.26,2T.27,2T.28,2T.30,2T.31,2T.32,2T.33,2T.34,2T.35,2T.36,2T.37,2T.38,2T.39,2T.41,2T.42,2T.44,3G.01,3G.02,3G.03,3G.04,3G.05,3G.06,3G.07,3G.08,3G.09,3G.10,3G.11,3G.12,3G.13,3G.14,3G.15,3N.01,3N.02,3N.03,3N.04,3N.05,3N.06,3N.07,3N.08,3N.09,3N.10,3N.11,3N.12,3N.13,3N.14,3T.01,3T.02,3T.03,3T.04,3T.05,3T.06,3T.07,3T.08,3T.09,3T.10,3T.11,3T.12,3T.13,3T.14,3T.15,3T.16,3T.17,3T.18,3T.19,3T.20,3T.21,3T.22,3T.23,3T.24,3T.25,3T.26,3T.27,3T.28,3T.29,3T.30,3T.31,3T.32,3T.33,3T.34,3T.35,3T.36,3T.37,3T.38,3T.39,3T.40,3T.41,3T.42,3T.43,3T.44
Sphingomonas,0,14.118,7.753,11.86,3.082,35.181,4.038,76.074,67.856,8.498,70.186,36.675,159.752,0,156.138,320.447,569.82,164.893,133.34,423.117,474.343,212.551,60.944,55.242,247.733,142.743,170.583,179.249,307.168,357.247,78.477,31.178,33.989,49.246,5.218,1.67,0,43.163,43.8,36.023,41.143,279.741,370.236,0,292.694,247.541,264.553,71.41,134.587,101.431,168.94,29.768,540.165,196.095,230.908,170.105,151.619,206.495,174.231,142.044,0.899,446.168,166.476,177.385,128.171,270.748,614.124,280.904,1105.221,166.943,224.983,324.203,136.436,0,1.848,11.513,11.692,0,13.661,58.164,0,0,0,0,2.123,0,0.808,0,0,45.788,30.179,0,0.796,0,9.254,0,23.028,69.318,29.412,415.899,157.032,0,0,0,0,0,22.748,0,0,170.734,44.4,0,34.031,66.84,8.696,242.278,34.246,0,0,0,9.819,54.005,0,34.64,1.227,213.317,0,127.554,345.131,184.44,0,0,0,44.589,0,171.66,56.177,14.985,421.216,10.843,105.629,89.88,6.504,15.959,71.932,54.31,39.36,303.785,38.055,26.069,5.713,6.586,0.767,17.753,21.698,0,17.548,152.576,100.963,85.604,313.164,82.188,88.694,117.669,104.923,16.546,39.516,142.866,364.925,320.229,183.025,72.449,56.898,288.065,15.556,45.448,17.146,3.777,7.219,40.621,58.496,100.148,0,89.832,42.35,136.476,78.848,8.265,0,62.676,493.065,82.286,79.092,198.451,97.253,160.472,191.756,172.485,373.124,484.12,212.338,537.895,161.201,272.28,182.302,189.491,323.73,501.963,371.156,274.561,246.04,95.428,109.271,633.794,161.808
Sphingopyxis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingorhabdus,0,0,0,0,2.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spirochaeta_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.963,2.156,0,0,0,0,0,14.808
Spirosoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.168,0,0,0,0,0,0,122.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0
Sporichthya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.741,23.236,0,0,0,3.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.246,0,0,0,0,14.005,0,0,0,18.317,0,0.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.338,0,1.201,0,0,13.491,0,0,0,0,0,0,0,0,0
Staphylococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stenotrophobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stenotrophomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steroidobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.451,0,9.472,0,0,0,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,50.794,11.808
