Genus,3G.01,3G.13,3N.10,3T.08,3T.20,3T.32,3G.02,3G.14,3N.11,3T.09,3T.21,3T.33,3T.44,3G.03,3G.15,3N.12,3T.10,3T.22,3T.34,3G.04,3N.01,3N.13,3T.11,3T.23,3T.35,3G.05,3N.02,3N.14,3T.12,3T.24,3T.36,3G.06,3N.03,3T.01,3T.13,3T.25,3T.37,3G.07,3N.04,3T.02,3T.14,3T.26,3T.38,3G.08,3N.05,3T.03,3T.15,3T.27,3T.39,3G.09,3N.06,3T.04,3T.16,3T.28,3T.40,3G.10,3N.07,3T.05,3T.17,3T.29,3T.41,3G.11,3N.08,3T.06,3T.18,3T.30,3T.42,3G.12,3N.09,3T.07,3T.19,3T.31,3T.43,2G.01,2G.13,2N.10,2T.08,2T.20,2T.32,1G.01,1G.13,1N.10,1T.08,1T.20,1T.32,2G.02,2G.14,2N.11,2T.09,2T.21,2T.33,2T.44,1G.02,1G.14,1N.11,1T.09,1T.21,1T.33,1T.44,2G.03,2G.15,2N.12,2T.10,2T.22,2T.34,1G.03,1G.15,1N.12,1T.10,1T.22,1T.34,2G.04,2N.01,2N.13,2T.11,2T.23,2T.35,1G.04,1N.01,1N.13,1T.11,1T.23,1T.35,2G.05,2N.02,2N.14,2T.12,2T.24,2T.36,1G.05,1N.02,1N.14,1T.12,1T.24,1T.36,2N.03,2T.01,2T.13,2T.25,2T.37,1G.06,1N.03,1T.01,1T.13,1T.25,1T.37,2G.07,2N.04,2T.02,2T.14,2T.26,2T.38,1G.07,1N.04,1T.02,1T.14,1T.26,1T.38,2G.08,2N.05,2T.03,2T.15,2T.27,2T.39,1G.08,1N.05,1T.03,1T.15,1T.27,1T.39,2G.09,2N.06,2T.04,2T.16,2T.28,1G.09,1N.06,1T.04,1T.16,1T.28,1T.40,2G.10,2N.07,2T.05,2T.17,2T.41,1G.10,1N.07,1T.05,1T.17,1T.29,1T.41,2G.11,2N.08,2T.06,2T.18,2T.30,2T.42,1G.11,1N.08,1T.06,1T.18,1T.30,1T.42,2G.12,2N.09,2T.07,2T.19,2T.31,1G.12,1N.09,1T.07,1T.19,1T.31,1T.43
g__Carassius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5318.827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Chaetogaster,15.156,2.79,57.546,281.102,0,0,32.863,49.967,5.003,57.995,0,559.794,0,0,0,38.113,45.514,0,14251.31,0,118.04,0,5.128,0,0,90.363,0,5.315,0,0,124.079,0,32.724,2201.727,0,0,0,0,0,53.677,0,0,0,37.384,0,19.307,0,0,12.068,0,6.001,81.168,19.088,0,0,0,0.929,47.833,0,0,0,15.321,0,0,0,0,1.702,0,31.196,25.569,9.043,0,0,0,0,68.691,0,0,123.205,3018.985,590.049,344.034,5353.2,1226.035,224.415,0,91.395,0,0,0,56.572,0,332.353,778.182,45.125,398.514,3551.617,0,0,0,13.697,0.845,0,0,0,97.489,2747.066,9897.944,287.54,303.162,46.318,0,18.697,0,36.156,0,0,933.238,1944.665,11066.787,6867.944,343.905,5436.305,0,0,0,3780.932,0,434.793,3598.298,705.163,0,555.476,3728.689,0,0,9.709,0,0,0,201.4,87.052,1933.136,3216.867,0,0,0,0,268.032,0,44.153,144.213,643.507,2288.25,1146.549,1667.303,452.023,17.804,2119.545,23.592,702.866,0,0,921.984,2612.057,1435.47,2396.235,5278.104,0,207.122,2.953,0,228.937,0,144.874,639.814,1435.29,1245.411,3.326,0,0,0,0,195.349,0,66.908,702.88,3421.962,3435.149,12984.924,0,0,0,0,4.911,1013.514,0,0,1376.495,2370.07,1725.563,2203.058,0,26.103,0,135.015,449.093,8.897,155.696,208.009,1977,10277.239,1367.819,306.076,1160.842
g__Chaetonotus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Chironomus,0,0,0,0,0,0,0,0,0,0,0,64.794,0,0,0,0,0,0,0,0,0,0,19.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Chydorus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Cloeon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Conchapelopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.691,0,0,0,0,0,0,0,0,0,0,0,4.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.905,0,0,0,0,0,0,21.793,0,0,0,0,0.689,0,0,0,0,8.198,7.486,0,0,0,0,0,0,0,25.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.908,0,0,0,0,0,0,0,0,0,0,2.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Craspedacusta,293.156,0.79,17.546,68.102,0,0,123.863,0,2.003,93.995,0,0,0,179.021,0,0,95.514,0.097,0,696.81,467.04,0,191.128,0,0,502.363,89.424,0,0,645.993,0,0,62.724,12.727,55.731,0,0,23852.827,0,0,0,0,0,55.384,0,34.307,0,0,0,47.079,128.001,87.168,111.088,0,0,18.833,0,155.833,289.721,0,342.738,257.321,0,0,2111.54,0,0,273.183,21.196,159.569,338.043,0,0,9.256,28.198,491.691,0,25.511,0,91.985,25.049,12.034,0.2,0,0,72.813,0,0,30.851,69.773,0,0,376.353,0,0,0,0,0,0,369.573,0,8.845,117971.586,270.77,0,1014.489,0,0,0,0,0,37.684,122.697,162.671,0,201.813,0,141.238,0,0,0,0,0,177.941,75.7,0,18.932,0,0,223.298,0,0,31.476,35.689,0,171.249,185.709,98.794,0,0,0,90.052,47.136,29.867,0,0,1704.928,706.53,228.032,0,0,0,356.507,0,160.549,0,565.023,0,17.545,257.592,0,0,0,0,31.057,17.47,140.235,0,0,0,115.953,0,0,32.825,0,193.814,167.29,62.411,0,0,0,0,42.895,411.349,0,77.908,30.88,5.962,481.149,0,0,0,71.65,0,111.911,0.514,0,0,732.495,0,171.563,0,0,0,0,4.015,3433.093,120.897,393.696,28.009,0,74.239,14.819,88.076,0
g__Cricotopus,40.156,39.79,25.546,0,171.284,0,0,0,6.003,0,0,7.794,0,0,411.521,0,0,0,0,0,0,0,76.128,0,0,2.363,72.424,0,0,0,0,0,431.724,16.727,0,0,0,0,1869.384,1063.677,30319.005,0,0,32.384,383.794,83.307,0,0,0,304.079,98.001,38.168,0,0,0,3151.833,0,11.833,71.721,0,28.738,0,0,0,0,0,0,80.183,0,12.569,29.043,0,0,0,0,12.691,0,0,0,77.985,0,0,86.2,61.035,0,0,0,0,0,0,0,0,6.353,0,0,40.514,0,0,0,0,1800.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156,27.813,0,0,4414.665,0,0,0,0,0,0,0,0,0,0,40.298,0,0,0,0,0,0,124.709,0,0,0,0,0,6.136,0,0,0,0,0,0,16.011,24.153,4.213,0,0,12.549,0,0,0,0,0,89.866,0,0,0,49.057,6.47,66.235,0,0,0,27.953,0,60.937,0,14.874,0,0,88.411,0,0,0,0,0,81.349,0,62.908,0,0,102.149,184.924,0,0,0,0,0,0,0,0,336.495,0,91.563,0,0,0,0,0,69.093,0,0,0,0,6.239,0,0,0
g__Cyclops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Cypridopsis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939.709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Cyprinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7747.827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Dero,69.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.384,0,0,0,0,0,123.079,0,4.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Diamesa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.035,0,0,0,0,0,0,0,0,0,0,6.125,0,86.617,0,0,0,0,0,0,0,0,0,0,1.944,0,14.162,302.318,0,0,0,0,0,0,0,0,0,1.944,0,339.305,0,0,0,0,0,0,0,0,59.863,0,0,1809.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432.023,156.804,0,0,0,0,0,0,0,0,0,44.104,0,257.122,0,0,0,0,0,0,0,0,60.326,62.592,95.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.432,0,0,0,0,0,0,0,0,0,116.819,72.076,151.842
g__Dicranomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Ecdyonurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.183,0,0,0,0,0,0,0,0,0,3.511,0,0,0,0,0,0,0,0,0,0,0,0,15.572,5.749,0,0,0,13.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.671,0,1.813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.249,0,0,10.198,0,0,6.052,0,0,0,0,0,60.53,0,0,0,0.213,0,0,0,0,0,0,0,0,0,0,3.848,81.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.326,0,0,0,0,0,0,64.908,0,0,0,0,0,0,0,0,0,0,0.408,0,0,0,0,0,0,0,0,0,0,0,21.696,2.009,0,0,0,0,0
g__Eiseniella,0,0,16.546,33.102,0,937.606,234.863,151.967,0,114.995,0,12.794,499.145,635.021,736.521,0,11.514,4.097,0,88.81,0,62.461,0,456.688,2.661,0,0,0,12.273,188.993,5.079,61.542,202.724,71.727,62.731,20.846,83.919,12403.827,0,0,54.005,45.316,0,0,11.794,0,17.136,164.056,0,0,0,0,47.088,989.234,52.11,30.833,0,0,0,0,35.738,25.321,40.784,72.411,0,0,93.702,218.183,4.196,0,25.043,0,0,0,0,55.691,71.669,0,155.205,0,153.049,164.034,193.2,0,319.415,0,332.395,0,114.851,0,0,20.749,240.353,95.182,45.125,9.514,0,0,167.185,290.573,58.697,42.845,6065.586,0,0,197.489,530.066,4.944,0,23.162,48.318,97.684,0,0,0,551.813,0,627.238,28.665,96.787,0,25.905,7.305,0,0,0,97.932,0,0,0,41.163,1.863,19.476,55.689,0,0,0,33.794,0,239.486,288.4,1395.052,0,29.867,250.557,450.756,2.928,33.53,0,0,0,0,81.507,61.25,40.549,37.303,124.023,25.804,0,0,0,88.154,1078.848,0,0,27.47,28.235,78.104,277.662,54.122,0,0,0,51.825,131.874,0,0,0,34.326,30.592,147.003,0,0,5.349,0,16.908,121.88,0,54.149,0,862.459,17.311,0,0,287.911,0,26.408,80.954,0,0.07,1737.563,152.058,71.432,0,0,73.015,0,0,1.696,358.009,0,0,53.819,54.076,5.842
g__Elmis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.384,0,0,0,0,0,0,0,0,0,0,36.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573,0,35.845,0,0,0,0,0,0,0,0,0,0,1.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Elodes,0,0,2.546,0,0,0,0,0,0.003,0,0,0,0,0,1.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.056,0,0,0,0,6.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Epeorus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.486,0,0,0,0,0,0,0,0.53,0,0,0,18.213,0,0,0,0,0,0,0,0,0,0,0,44.984,0,0,0,0,16.662,0,0,0,0,0,0,0,0,0,8.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Ephemera,0,0,0,0,0,0,0,0,0,0,0,0,0,41.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.563,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Ephemerella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.905,0,0,0,0,0,0,58.793,0,0,0,0,0,304.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317.432,0,0,0,0,0,0,0,0,0,33.819,0,0
g__Ephydatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Euchlanis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.773,0,0,0,0,0,1226.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.697,0,86.156,0,319.644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.709,0,0,0,0,0,0,4.867,0,0,0,0,0,0,1.153,0,0,0,0,0,0,0,0,0,6.866,0,0,0,0,0,0,0,0,0,58.953,0,47.937,0,0,0,0,0,0,0,0,0,0,231.349,421.528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.563,0,0,0,0,0,16.093,51.897,0,0,0,0,0,0,0
g__Eucyclops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Eukiefferiella,0,0,10.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332.103,0,0.015,0,0,0,0,0,0,0,0,0
